"","Abigail","Barney","Beans","Bene","Blondie","Brain","Brie","Brigit","Bubbles","Candice","Cashew","Celine","Chad","Chilli","Chips","Chopper","Coffee","Cyclops","Daring","Dash","Ditto","Domino","Doodle","Ester","Francis","Genevieve","Gina","Goggles","Gogo","Hazel","Helen","Jacquei","Julia","Lauren","Longnose","Louis","Michelle","Mike","Milo","Nacho","Nancy","Naomi","Nikki","Nina","Opal","Pearl","Penny","Qantas","Regan","Ross","Rudolph","Shaddow","Star","Stripes","Syrup","Themeda","Therese","Tim","Trevor","Twinkie","Tyrone"
"Abigail",0,533.070497731965,446.510575815247,162.968881614785,133.836962235995,129.407830230477,552.191349346492,474.749968584117,325.832226273846,119.493620927247,20.5273429185073,60.45442403049,92.5199482791935,382.179231114969,475.740627904541,234.109440880534,528.367994109699,518.349774608171,66.4818335603657,67.8613016930879,105.875612697583,112.749776334058,445.182041366875,51.247149265583,385.052077663305,600.597653015157,676.354536854546,366.755722770446,652.558277374015,33.6895277488667,15.1556955955372,62.2063271296856,26.3963236173894,381.897131908256,308.339049582926,374.765879740785,374.332418152085,83.2660872902822,367.699924016934,24.850036393038,197.061152469444,171.210293014266,123.721605209433,388.88630151787,421.623499378005,624.72059268177,485.749036868253,5.92905434050297,94.9441394675169,66.6915691518618,35.1074784623802,177.880490247679,266.39643574652,221.605501208028,421.75878267475,464.51231558647,359.928327401225,138.589762830573,73.8817662147433,171.977233819206,119.044284019163
"Barney",533.070497731965,0,120.640625927699,376.003402009035,421.427910541889,538.162085227728,55.4497165065853,62.2807650775543,216.382088313394,484.817636022094,519.184726690399,589.794011628851,456.943806316273,189.427150747591,57.859718356664,299.027293410485,92.5643901503038,21.8879738583599,467.365864246714,468.060706161477,526.040258338376,605.718481178912,95.4409988138869,519.638230463688,148.023890582624,165.993794422065,183.86658991383,168.212948803483,165.725129283248,500.666995922331,538.708457637312,590.380184683744,559.211559327674,155.647598143667,224.745155090868,172.940852361081,164.516368257741,608.665324328265,179.218617932465,557.82372931836,336.056273075347,367.621101773224,546.043241118475,146.939803679031,111.506884983314,173.834009529474,67.8477721392911,538.759412156539,444.687945766093,599.714891862105,514.517988986608,675.574151882816,285.772637566614,314.262496672322,113.156748730655,68.7225531130525,197.947029660696,418.4180755479,482.671303520972,367.141817742698,604.803289406178
"Beans",446.510575815247,120.640625927699,0,302.944269344994,352.979779994343,475.987891548501,112.294761783541,103.15215544781,171.789890649648,420.976275143448,435.516113569496,499.199154103287,382.263648023359,72.6897300331507,91.3116695340758,218.194949773289,81.8629199818853,98.9768883715834,383.86954766638,379.045753897408,423.302675004275,505.784790153868,42.8295006731773,442.308441719804,95.1051147642148,161.957322336525,230.099658674302,92.419903146739,206.40717198404,416.290683799176,454.494492910509,499.276947833128,472.895774661062,74.5981680844702,151.30006070531,151.763092566934,131.351860857893,515.840989894957,154.223604161563,470.551800154062,255.704382742456,295.167155765049,482.242887140414,73.6791901365357,81.9365129775116,183.672940161233,130.49713468414,452.401188104702,366.72621345849,512.692839314302,433.629599870633,573.356101128048,183.446944351056,225.468634756523,96.5130604072267,76.2660749211666,178.518129681485,351.059902830412,407.367726958198,294.997579881557,503.736416497407
"Bene",162.968881614785,376.003402009035,302.944269344994,0,51.0945586927963,174.747013980393,400.899929220244,315.86060356654,163.805268748172,119.960134138472,146.332387940805,222.949421635528,81.0356235799324,249.260630952631,318.176089059747,85.5026464071696,383.552777891447,363.070295278597,96.867087519787,108.298835977235,199.558088560466,258.4900581031,293.618493107051,143.64141256457,228.961204735509,463.639680921796,531.533257614809,215.107475058635,508.171099147316,129.318231953665,165.799741682448,224.312204925814,187.836541079908,231.900694037723,154.333909082398,212.495522748785,213.741921895364,244.667845604086,205.434965832337,187.621793059671,50.5026546089149,8.43012141585989,180.154184563292,237.177414121408,264.862233285679,486.250776686737,324.843963054618,168.16058054371,69.4938046276139,227.996056520091,139.638052726681,329.844856834271,145.899990439184,88.0548734505686,263.1728069496,308.37561887226,196.965065376551,50.2469914854794,106.743684698117,9.06376435917339,261.115984353134
"Blondie",133.836962235995,421.427910541889,352.979779994343,51.0945586927963,0,123.725486331803,448.782048762736,360.346214183017,206.140723564756,68.8687098694197,114.407244255779,193.892025550971,41.5855694506458,300.318146063989,363.594459065352,136.411541462353,433.102755935779,409.522460296316,75.6661953311253,98.1871353734351,196.724310562662,240.734919398711,341.901609380598,102.390232265039,275.906498389961,514.097095545946,580.731324276734,263.923655727266,557.49852148547,101.455083899202,132.531827729615,195.874135105575,155.625901405323,281.040280347405,203.063424053524,253.568583467518,257.494971003854,217.047506067103,246.608689870011,156.850766308,101.442722879309,58.2000222607379,129.396478540828,285.792971198793,311.134834623241,536.511140588713,367.274280707778,138.041764634331,43.3902838533079,193.836159138113,103.864898068445,309.788049996623,195.955944193983,138.499442194275,308.272895434239,354.687121091188,234.89791923492,4.88271101349853,65.1596181039393,58.2431629674903,245.057297366905
"Brain",129.407830230477,538.162085227728,475.987891548501,174.747013980393,123.725486331803,0,568.91748014126,476.201651318712,321.825414078089,55.0424376494795,114.109248396321,165.124552619803,105.353961986915,424.007124043572,480.723811009226,260.136531879771,555.469807256022,527.804434919145,131.622133858335,157.069487708276,233.495468551559,233.431960828613,462.920745280642,80.3633766324391,395.696746564362,637.44958781666,702.468951808271,385.861441930503,679.437849929675,122.019087476096,115.94805796973,168.475085689812,130.495725861069,403.251568091138,325.230418997936,366.523922841091,373.694618846057,186.74670646694,359.863248961563,135.891068824479,224.777674261036,181.917863630358,10.7399500017407,407.423874894843,429.817949386344,659.643961073317,480.101461927811,128.331014653753,125.294372760394,148.052633996473,100.090824399102,286.311960942623,317.546318315862,261.038919983028,425.479370633804,473.098817743032,344.441732920406,125.187402738326,88.5338138514882,181.939101944796,241.391209916114
"Brie",552.191349346492,55.4497165065853,112.294761783541,400.899929220244,448.782048762736,568.91748014126,0,105.28232593292,249.044669317647,514.583547171525,539.828772461264,606.752338597644,481.749784018932,184.905864213913,95.4272676091671,319.320107752191,48.5980743325373,48.5786954643752,487.85689016405,485.525104736693,534.63908472945,616.542787779588,107.448224499823,543.521060762667,173.229615024515,110.566310626832,137.37390219852,186.263067410079,116.642319988414,520.852121935878,559.137918642795,607.032538995435,578.560316918934,170.412603487107,246.652596060831,211.05181379175,198.217762086426,624.297750764094,216.515524864764,576.629763774011,357.089304785257,392.702561388918,576.164885753368,164.05231552376,139.815308231591,118.951579316601,119.27592286629,558.013524449755,467.846698190983,618.789390178046,536.595361203257,684.756271812651,293.766873123039,330.709336397145,146.622827932007,97.9911952527503,237.861336949568,446.216752295513,507.339162608967,392.356723368536,614.788172624575
"Brigit",474.749968584117,62.2807650775543,103.15215544781,315.86060356654,360.346214183017,476.201651318712,105.28232593292,0,154.641190935729,423.067567876175,460.237149913169,532.323443825376,396.571333987645,156.674288960068,13.3110862239724,241.505376010865,121.380409637397,57.0740627903685,408.652565928729,410.778596705823,473.607989974091,551.523817249401,62.50095774709,459.439121099585,91.3648776328121,208.356745422583,241.642183906025,115.835861660338,221.695411941685,441.973251716391,479.798055958336,533.057487411198,500.714693801348,107.132772158969,167.487859503155,110.66173588965,102.903983707723,551.800326444102,116.945439536368,499.574057709441,277.80369746759,307.445255812126,484.178621689832,97.1181149184126,55.4801526495198,221.368695318204,27.345163906937,480.361825124284,384.949438805696,541.238521513034,454.998492988703,622.130916189829,236.652000814576,258.74417496512,52.9917021579535,26.9059993891014,135.885964328037,357.220290372729,422.283790719995,306.919170607711,551.119532634016
"Bubbles",325.832226273846,216.382088313394,171.789890649648,163.805268748172,206.140723564756,321.825414078089,249.044669317647,154.641190935729,0,268.457984927452,309.926041897865,385.02417293846,243.479194116861,152.35710560382,158.902933238128,102.678510285523,242.741003249104,206.247558219344,259.352017254591,265.368267198633,340.930984587611,412.42407462264,147.016031198042,306.472749536937,78.7461297082265,330.5108009834,385.152550270826,82.1651060374645,362.951957091867,292.408026617921,329.450292288278,386.11248871851,351.193045870159,98.9385883330509,52.2823888621653,48.9857823615487,51.8725879250097,405.826045947545,41.9321336196034,350.641885707675,133.047470681154,155.394186565722,329.662171537527,98.1481047806721,109.235351309879,349.930998830415,161.347166728971,331.214544942519,233.298556457052,391.532840180349,303.42469599206,484.119393745793,137.210034953915,127.061116019597,103.733421787509,151.827076833083,41.6763967908331,202.87110804765,269.077118162887,154.748514848195,413.392381094392
"Candice",119.493620927247,484.817636022094,420.976275143448,119.960134138472,68.8687098694197,55.0424376494795,514.583547171525,423.067567876175,268.457984927452,0,99.6530106292495,170.847297514821,58.3085353084334,369.175570261345,427.209489778696,205.216344924334,500.575238348179,473.984340395755,94.3714805617803,122.027349442523,212.257646799408,231.947990490959,408.315367763117,70.1708613831911,341.361926655372,582.409320005754,647.735514115995,331.02029788195,624.652526053985,98.481466486477,110.568757043503,173.709051139146,131.549476239463,348.362005143582,270.323641956642,314.061814973193,320.306119292515,194.409698548307,307.293360683465,135.292789703062,170.212509242605,126.994531763673,61.5955044258551,352.654779443399,375.808324707051,604.623459720419,427.921970684269,121.004224202479,78.010511908054,161.554776566429,84.4882799828276,293.853123240657,263.920355683303,206.906927846959,371.882633375523,419.202328797862,292.926176794576,70.1728067305367,52.6970506189728,126.990898985981,238.491452826468
"Cashew",20.5273429185073,519.184726690399,435.516113569496,146.332387940805,114.407244255779,114.109248396321,539.828772461264,460.237149913169,309.926041897865,99.6530106292495,0,79.5000385409915,72.8763773429392,372.721627728665,461.644783007853,220.798844827249,517.354470931558,504.949214715643,51.9850255004714,61.051721567823,119.386372690327,133.118004543127,432.555925633358,33.8951646298689,371.208382227104,591.243756756685,665.589383056698,353.876659873038,641.851318567382,19.3324810027099,19.5679262365593,81.5542538645249,41.7499455028958,369.416289021766,294.7126996759,358.739370731597,359.109914102759,102.794160252197,351.674572645813,42.4699864047739,183.292788808085,154.68508656756,109.556122481183,376.071654891019,407.677853595238,615.133174629431,470.483301677557,23.8071209509016,77.2461774688586,81.6638962592055,15.293939618936,198.35204465997,257.490562200404,210.073106414015,407.282583040208,450.80658525506,343.110927721523,119.095780952948,53.3837775964237,155.390691228015,139.232947235164
"Celine",60.45442403049,589.794011628851,499.199154103287,222.949421635528,193.892025550971,165.124552619803,606.752338597644,532.323443825376,385.02417293846,170.847297514821,79.5000385409915,0,152.376327731761,432.601430759266,532.806906296154,290.931933998567,580.862179559372,574.448649684403,126.106699739381,121.73650110058,110.647626202427,70.2849345032877,500.34048680512,100.9814896054,441.966583717137,650.055268400219,728.149540100116,422.475001907463,704.292752902972,94.0272970001253,62.3879449121954,3.49215364652883,39.6697260877989,437.022881431924,365.200369477205,434.005207141057,432.819798291511,23.7267079631046,426.945232540205,37.2331312897846,254.615499706723,231.11261064829,156.655028816944,444.452700157233,478.590399609312,674.545324641144,544.154746642774,55.8865809374371,155.37925937936,26.7246286216071,91.4214528353607,123.262777433116,316.775871735019,276.321178145759,479.36286116721,521.100393318768,419.779228696308,198.591262102972,131.739883201558,231.911024409537,79.1573625087926
"Chad",92.5199482791935,456.943806316273,382.263648023359,81.0356235799324,41.5855694506458,105.353961986915,481.749784018932,396.571333987645,243.479194116861,58.3085353084334,72.8763773429392,152.376327731761,0,325.174672069597,399.099133884433,164.074317242443,463.381837544422,444.104860252283,41.1996961325637,68.1689055512642,164.823498608572,201.302296617183,374.387231085277,62.993677828248,309.996205047175,541.869738616599,611.59737214961,295.724330024663,588.128734894161,60.9272808283808,90.9571690082056,154.403963243673,114.042544368922,312.295912495601,235.101148133051,291.656405740379,294.123691404056,175.612779002091,284.633729705797,115.290220241923,126.651050749177,89.3695989413044,107.915275503798,317.861135095294,345.878690436405,564.907726394328,404.818114587787,96.5768352516189,20.0972569418664,152.448739430295,62.4071509302343,269.387807819711,214.796691347565,160.174201379611,344.006515758921,389.401339496992,274.193381224247,46.2321967170352,25.7275023222436,89.8196686661014,206.146373069766
"Chilli",382.179231114969,189.427150747591,72.6897300331507,249.260630952631,300.318146063989,424.007124043572,184.905864213913,156.674288960068,152.35710560382,369.175570261345,372.721627728665,432.601430759266,325.174672069597,0,148.053382126207,164.040796169502,150.540904469923,168.536403198493,321.915573465219,314.330804167885,352.476521041687,435.576386965482,96.6738446089587,382.669563790391,98.439785741187,218.527334887966,295.870265101204,75.3805737535494,272.000291318086,353.390618766414,391.208730092893,432.462204397727,408.421307050283,65.7298361405015,112.601933473782,154.386744679743,132.383786017494,448.21657581182,153.523314027064,405.654190764471,199.48795016303,242.203071882751,429.253828964008,74.280168628762,112.084401838981,242.543885797964,182.305301999948,388.105156115517,308.137755807657,447.567562424372,372.267708552365,502.286863379345,115.94182598104,165.138826300393,125.344432670803,131.792360710756,175.530048064021,299.117034913979,349.407856221893,242.239461611423,433.170198967204
"Chips",475.740627904541,57.859718356664,91.3116695340758,318.176089059747,363.594459065352,480.723811009226,95.4272676091671,13.3110862239724,158.902933238128,427.209489778696,461.644783007853,532.806906296154,399.099133884433,148.053382126207,0,241.887034761414,108.671439459998,48.4227356337715,409.88781711791,411.117036873701,471.627956321571,550.340693865389,52.1717679766488,461.815917513014,90.8514166094796,196.29310900528,232.545871999152,113.11374818349,212.069508859143,443.202880718219,481.183209694809,533.455496005863,501.824988283855,102.65390993776,167.60654049366,117.072453941444,107.048212774492,551.94533884563,122.999296212805,500.524597562062,278.680028878195,309.789025916036,488.510954859787,93.0642878382144,54.2299315684365,209.945366972177,39.7619140663008,481.403435735814,386.934910783321,542.34241431514,456.822398537611,620.638289408814,233.093062117865,258.010646446651,55.3603804618926,16.2740445002268,143.216435094446,360.604669413727,424.826564174962,309.304716497298,549.708140790105
"Chopper",234.109440880534,299.027293410485,218.194949773289,85.5026464071696,136.411541462353,260.136531879771,319.320107752191,241.505376010865,102.678510285523,205.216344924334,220.798844827249,290.931933998567,164.074317242443,164.040796169502,241.887034761414,0,299.357937163745,284.276411170804,168.824891480156,169.292433263129,238.650904368715,312.250580622983,211.918078635469,224.673356442534,151.069595905699,378.317998819177,447.641787191406,133.142182304596,424.127106895409,202.014583108872,240.223553306871,291.610695272635,260.321319654251,149.033587816044,74.2960606758751,149.754528698521,144.264380534629,310.296088654529,142.990109644272,258.82820514312,37.8093429020721,78.2240994841542,265.653649742334,155.35553133496,187.685425106683,401.100014562547,254.525654134626,239.829939312554,148.935103842983,300.788354701895,217.275359239629,383.651412021475,71.3803664004024,26.7742063855345,188.61713149456,230.41901193177,143.361824016988,135.100107280305,189.25727406643,78.229612834888,312.659002538024
"Coffee",528.367994109699,92.5643901503038,81.8629199818853,383.552777891447,433.102755935779,555.469807256022,48.5980743325373,121.380409637397,242.741003249104,500.575238348179,517.354470931558,580.862179559372,463.381837544422,150.540904469923,108.671439459998,299.357937163745,0,75.7487063839838,465.675247218573,460.877531980429,503.015201429336,586.026558634602,95.79938446912,523.809529322949,164.050063950196,89.6793142063879,148.36775231731,169.666928602161,124.778188428302,498.137155610753,536.348549820415,580.901186375157,554.751580369182,152.218311699882,230.251608385718,212.149455484577,195.40939992108,597.286510599749,216.461390518,552.390548198023,337.016840650318,375.641632284723,562.040113254522,148.454686653979,136.976949078021,107.312377858714,142.872339314474,534.259828468289,448.149473430616,594.524405261482,515.36178006884,652.812323588614,264.590244097504,307.290065046244,147.817201476008,103.6021270438,239.784888457902,430.986286004465,488.61515730761,375.422538481,583.690701868683
"Cyclops",518.349774608171,21.8879738583599,98.9768883715834,363.070295278597,409.522460296316,527.804434919145,48.5786954643752,57.0740627903685,206.247558219344,473.984340395755,504.949214715643,574.448649684403,444.104860252283,168.536403198493,48.4227356337715,284.276411170804,75.7487063839838,0,453.018748381514,452.744163725504,508.359190733103,588.662793605008,76.3739061798148,506.532270208768,134.141438006753,155.928919230089,184.595838177293,152.02324390179,164.654598553394,486.258678560602,524.421226290986,574.942622598641,544.589376064451,138.349782895442,210.242626115602,165.444996023156,154.583804000219,592.938636340854,171.292956895341,543.02598865937,321.656790728526,354.741192579715,535.419494029784,130.228799598768,98.3884112055245,166.620633901276,71.2766629175568,524.087266781117,431.231148188501,585.038906975858,500.76574214752,658.150541432408,267.522930658494,298.341234590169,102.557374930372,54.8397880743151,191.634909609073,406.686665186847,469.812907706267,354.311378942212,587.532519778298
"Daring",66.4818335603657,467.365864246714,383.86954766638,96.867087519787,75.6661953311253,131.622133858335,487.85689016405,408.652565928729,259.352017254591,94.3714805617803,51.9850255004714,126.106699739381,41.1996961325637,321.915573465219,409.88781711791,168.824891480156,465.675247218573,453.018748381514,0,27.7295654876945,123.727979949113,165.875690184543,380.573124880893,63.6453148232246,319.360279251047,540.336287099594,613.967914041692,301.891953821996,590.255988141641,33.3224034274483,71.4049460331614,127.445646073714,92.1084663120086,317.444506559195,242.799014622516,308.290566158023,307.937764854106,147.847079098003,301.224895669447,91.3065534643299,131.371149412378,105.007795528747,131.2145414764,324.086635656867,355.86470168733,564.078458025347,419.354628050699,71.912754323885,32.4584168231167,132.615486527261,50.4540872139136,235.969985711861,207.355604926073,158.405313532467,355.673493945776,398.933238385422,293.68323721277,80.5319971382566,43.7168578757345,105.811074881722,169.798120914826
